"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"L1 (Sig) (mm)";"L2 (Gnd) (mm)";"L3 (Pwr) (mm)";"L4 (Sig+Pwr) (mm)";"L5 (Gnd) (mm)";"L6 (Sig+Pwr) (mm)";"L7 (Gnd) (mm)";"L8 (Sig) (mm)";
231;"ETH_PHY_TXD1";2;2;1,7358;12,1076;12,1258;25,9692;5,1581;0,0000;0,0000;0,0000;0,0000;6,9494;0,0000;0,0000;
232;"ETH_PHY_MDC";2;3;2,3692;14,9486;5,8025;23,1203;2,4322;0,0000;0,0000;8,0562;0,0000;0,0000;0,0000;4,4602;
233;"ETH_PHY_MDI3_N";2;1;1,1846;7,1453;0,0000;8,3299;6,2981;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8471;
234;"ETH_PHY_MDI3_P";2;1;1,1846;7,1452;0,0000;8,3298;6,2981;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8471;
235;"ETH_PHY_MDI1_N";2;1;1,1846;7,2710;0,0000;8,4556;6,2574;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0136;
236;"ETH_PHY_RST";3;0;0,0000;20,8687;0,0000;20,8687;20,8687;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
237;"ETH_PHY_MDI0_N";2;1;1,1846;5,4303;0,0000;6,6149;4,6928;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7375;
238;"ETH_PHY_MDI2_N";2;1;1,1846;5,5740;0,0000;6,7586;4,8331;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7410;
239;"ETH_PHY_MDI0_P";2;1;1,1846;5,4096;0,0000;6,5942;4,6928;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7168;
240;"ETH_PHY_MDI2_P";2;1;1,1846;5,5752;0,0000;6,7598;4,8330;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7422;
241;"ETH_PHY_TXD2";2;2;1,7358;13,4314;10,3700;25,5372;1,0383;0,0000;0,0000;0,0000;0,0000;12,3932;0,0000;0,0000;
242;"ETH_PHY_TXCTL";2;2;1,7358;10,8842;12,8658;25,4858;1,0812;0,0000;0,0000;0,0000;0,0000;9,8030;0,0000;0,0000;
243;"ETH_PHY_MDI1_P";2;1;1,1846;7,2710;0,0000;8,4556;6,2574;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0136;
244;"ETH_PHY_TXC";2;2;1,7358;16,1314;7,5225;25,3897;5,1978;0,0000;0,0000;0,0000;0,0000;10,9336;0,0000;0,0000;
245;"ETH_PHY_TXD0";2;2;1,7358;14,9037;8,8983;25,5378;1,9715;0,0000;0,0000;0,0000;0,0000;12,9323;0,0000;0,0000;
246;"/Ethernet PHY/ETH_CLK_25MHz";2;0;0,0000;3,3763;0,0000;3,3763;3,3763;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
247;"1V0_EN";3;2;2,0525;27,0155;0,0000;29,0680;0,0000;0,0000;0,0000;0,0000;0,0000;26,1250;0,0000;0,8905;
248;"1V0_PG";3;2;1,7358;31,5253;0,0000;33,2611;3,2503;0,0000;0,0000;0,0000;0,0000;28,2749;0,0000;0,0000;
249;"1V8_PG";3;2;1,7358;21,9919;0,0000;23,7277;5,4541;0,0000;0,0000;0,0000;0,0000;16,5378;0,0000;0,0000;
250;"1V8_EN";3;2;2,0525;21,7448;0,0000;23,7973;0,5207;0,0000;0,0000;0,0000;0,0000;21,2191;0,0000;0,0050;
251;"3V3_EN";3;2;2,0525;11,7543;0,0000;13,8068;0,4095;0,0000;0,0000;0,0000;0,0000;11,3448;0,0000;0,0000;
252;"3V3_PG";3;0;0,0000;8,8142;0,0000;8,8142;8,8142;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
253;"Net-(U6-FB)";3;0;0,0000;2,4780;0,0000;2,4780;2,4780;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
254;"1V35_EN";3;2;1,7358;44,9010;0,0000;46,6368;2,4788;0,0000;0,0000;0,0000;0,0000;42,4222;0,0000;0,0000;
255;"1V35_PG";3;2;1,7358;41,8871;0,0000;43,6229;2,0563;0,0000;0,0000;0,0000;0,0000;39,8308;0,0000;0,0000;
