Time resolution is 1 ps
Time = 8925000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 8935000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 8965000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 8975000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9005000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9015000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9045000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9055000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9085000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9095000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9125000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9135000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9165000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9175000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9205000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9215000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9245000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9255000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9285000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9295000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9325000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9335000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9365000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9375000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9405000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9415000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9445000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9455000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9485000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9495000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9525000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9535000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9565000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9575000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9605000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9615000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9645000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9655000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9685000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9695000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9725000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9735000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9765000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9775000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9805000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9815000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9845000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9855000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9885000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9895000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9925000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9935000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 9965000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 9975000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10005000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10015000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10045000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10055000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10085000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10095000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10125000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10135000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10165000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10175000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10205000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10215000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10245000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10255000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10285000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10295000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10325000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10335000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10365000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10375000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10405000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10415000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10445000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 1
Time = 10455000, w_data = c000, r_data = 4000, full = 0, empty = 0, data_o = 0
Time = 10485000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10495000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10515000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10525000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10535000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10545000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10555000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10565000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10575000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10585000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10595000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10605000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10615000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10625000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10635000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10645000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10655000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10665000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10675000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10685000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10695000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10705000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10715000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10725000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10735000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10745000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10755000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10765000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10775000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10785000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10795000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10805000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10815000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10825000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10835000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10845000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10855000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10865000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10875000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10885000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10895000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
Time = 10905000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 0
Time = 10915000, w_data = c000, r_data = 8000, full = 0, empty = 0, data_o = 1
